id,instrument_1,instrument_2
956,string_acoustic_014-054-100,flute_synthetic_000-081-075
957,keyboard_synthetic_000-064-025,flute_synthetic_000-058-025
958,string_acoustic_014-048-075,flute_synthetic_000-048-100
959,guitar_electronic_028-068-100,flute_synthetic_000-058-025
960,string_acoustic_056-074-100,flute_acoustic_002-078-100
961,flute_synthetic_000-051-100,guitar_acoustic_021-083-075
962,keyboard_electronic_098-069-100,flute_synthetic_000-060-025
963,guitar_acoustic_014-069-025,keyboard_acoustic_004-074-100
964,flute_synthetic_000-050-050,keyboard_electronic_078-070-075
965,keyboard_electronic_002-058-050,guitar_electronic_022-077-127
966,string_acoustic_056-062-075,guitar_electronic_028-068-050
967,flute_acoustic_002-077-100,string_acoustic_057-077-075
968,keyboard_electronic_003-081-075,flute_acoustic_002-077-050
969,keyboard_electronic_002-076-025,flute_synthetic_000-049-100
970,guitar_acoustic_014-058-050,keyboard_synthetic_000-061-100
971,flute_synthetic_000-057-025,keyboard_synthetic_000-061-100
972,string_acoustic_056-059-075,keyboard_electronic_098-069-050
973,guitar_electronic_022-056-127,flute_synthetic_000-083-050
974,string_acoustic_014-051-100,guitar_acoustic_010-084-025
975,keyboard_electronic_078-062-100,flute_synthetic_000-072-050
976,flute_synthetic_000-073-050,guitar_electronic_022-054-025
977,keyboard_synthetic_000-070-100,flute_synthetic_000-076-025
978,guitar_electronic_022-073-127,string_acoustic_057-073-127
979,flute_synthetic_000-071-127,string_acoustic_056-063-127
980,guitar_electronic_028-059-025,keyboard_electronic_002-082-075
981,string_acoustic_056-054-050,guitar_acoustic_015-062-100
982,flute_synthetic_000-084-025,guitar_acoustic_015-062-100
983,flute_synthetic_000-083-127,guitar_electronic_022-053-075
984,string_acoustic_057-077-075,guitar_electronic_028-072-075
985,string_acoustic_056-064-100,keyboard_electronic_098-063-127
986,keyboard_electronic_069-048-025,guitar_acoustic_010-080-100
987,guitar_acoustic_015-052-100,string_acoustic_014-061-127
988,flute_acoustic_002-083-100,guitar_electronic_022-072-025
989,keyboard_electronic_098-083-075,flute_acoustic_002-067-025
990,string_acoustic_012-053-025,flute_synthetic_000-057-100
991,keyboard_electronic_098-075-127,string_acoustic_056-065-100
992,string_acoustic_012-055-050,flute_synthetic_000-075-075
993,guitar_acoustic_021-081-075,flute_synthetic_000-057-050
994,string_acoustic_057-074-050,guitar_electronic_022-054-025
995,keyboard_electronic_002-078-127,guitar_acoustic_014-061-050
996,guitar_acoustic_015-062-100,keyboard_acoustic_004-050-025
997,string_acoustic_080-053-050,guitar_acoustic_014-054-127
998,guitar_electronic_022-072-025,flute_synthetic_000-081-127
999,keyboard_acoustic_004-062-075,string_acoustic_014-058-100
1000,flute_synthetic_000-054-050,guitar_acoustic_015-074-100
1001,flute_synthetic_000-054-075,string_acoustic_056-055-100
1002,flute_acoustic_002-073-127,keyboard_electronic_003-080-075
1003,string_acoustic_014-062-075,flute_synthetic_000-052-050
1004,flute_synthetic_000-057-100,guitar_electronic_022-064-127
1005,keyboard_synthetic_000-073-050,guitar_acoustic_030-051-127
1006,keyboard_acoustic_004-074-075,flute_synthetic_000-081-127
1007,flute_acoustic_002-073-127,string_acoustic_056-055-100
1008,flute_synthetic_000-054-025,string_acoustic_056-054-050
1009,string_acoustic_057-077-050,flute_acoustic_002-078-025
1010,keyboard_electronic_002-062-075,guitar_acoustic_021-055-100
1011,flute_synthetic_000-083-050,guitar_electronic_028-059-025
1012,guitar_acoustic_014-062-075,flute_synthetic_000-057-100
1013,string_acoustic_057-077-100,flute_synthetic_000-062-075
1014,keyboard_electronic_069-075-075,string_acoustic_014-055-025
1015,keyboard_electronic_001-054-050,flute_acoustic_002-081-075
1016,flute_synthetic_000-052-127,keyboard_electronic_002-073-100
1017,string_acoustic_056-055-100,keyboard_acoustic_004-066-050
1018,guitar_acoustic_010-063-050,flute_synthetic_000-070-127
1019,string_acoustic_056-050-050,keyboard_electronic_069-050-127
1020,string_acoustic_080-048-025,guitar_electronic_028-076-025
1021,keyboard_synthetic_000-069-100,string_acoustic_057-071-100
1022,string_acoustic_014-048-075,guitar_electronic_022-050-127
1023,guitar_acoustic_030-048-050,flute_acoustic_002-067-050
1024,guitar_acoustic_010-080-075,keyboard_electronic_002-082-025
1025,string_acoustic_014-053-025,flute_synthetic_000-048-127
1026,guitar_electronic_028-077-127,flute_synthetic_000-049-025
1027,flute_synthetic_000-054-050,keyboard_electronic_098-074-050
1028,flute_synthetic_000-053-127,keyboard_electronic_078-083-025
1029,keyboard_synthetic_000-082-025,string_acoustic_057-084-127
1030,flute_synthetic_000-057-025,keyboard_electronic_001-057-100
1031,keyboard_acoustic_004-059-127,flute_acoustic_002-080-050
1032,keyboard_synthetic_000-084-050,guitar_acoustic_030-064-025
1033,guitar_acoustic_015-084-127,flute_synthetic_000-083-127
1034,keyboard_synthetic_000-084-050,string_acoustic_057-064-075
1035,keyboard_electronic_001-051-127,flute_synthetic_000-057-100
1036,flute_synthetic_000-073-127,keyboard_electronic_098-067-075
1037,guitar_acoustic_010-057-100,string_acoustic_057-065-100
1038,flute_synthetic_000-053-127,string_acoustic_056-056-075
1039,flute_synthetic_000-072-075,string_acoustic_056-060-075
1040,guitar_acoustic_014-054-127,flute_synthetic_000-068-050
1041,guitar_electronic_022-080-050,string_acoustic_014-048-075
1042,keyboard_electronic_078-079-100,guitar_acoustic_015-064-127
1043,keyboard_electronic_003-082-025,string_acoustic_071-052-025
1044,flute_synthetic_000-049-050,keyboard_synthetic_000-048-075
1045,string_acoustic_056-057-127,guitar_acoustic_021-051-025
1046,string_acoustic_056-072-025,guitar_acoustic_010-065-025
1047,keyboard_synthetic_000-069-100,string_acoustic_057-064-075
1048,guitar_acoustic_015-048-025,keyboard_electronic_098-062-127
1049,string_acoustic_080-051-127,guitar_electronic_028-057-025
1050,flute_synthetic_000-081-075,keyboard_acoustic_004-070-050
1051,string_acoustic_057-055-100,keyboard_electronic_078-053-050
1052,guitar_acoustic_010-068-075,flute_synthetic_000-079-100
1053,string_acoustic_056-062-075,flute_acoustic_002-073-127
1054,guitar_acoustic_030-048-025,string_acoustic_056-075-025
1055,string_acoustic_056-050-050,keyboard_electronic_098-067-075
1056,flute_acoustic_002-069-025,keyboard_synthetic_000-062-050
1057,guitar_acoustic_021-069-025,keyboard_electronic_078-074-050
1058,keyboard_synthetic_000-073-127,string_acoustic_056-050-050
1059,guitar_acoustic_021-082-127,flute_synthetic_000-081-075
1060,keyboard_electronic_003-073-100,flute_synthetic_000-048-127
1061,flute_synthetic_000-079-127,guitar_acoustic_014-052-050
1062,string_acoustic_056-065-100,guitar_acoustic_030-054-075
1063,flute_synthetic_000-054-025,string_acoustic_056-054-050
1064,keyboard_electronic_003-080-075,guitar_electronic_028-075-050
1065,keyboard_acoustic_004-069-127,string_acoustic_056-059-100
1066,keyboard_electronic_003-071-127,flute_synthetic_000-081-075
1067,string_acoustic_057-078-127,keyboard_electronic_002-052-050
1068,flute_synthetic_000-081-127,guitar_acoustic_015-054-025
1069,guitar_acoustic_010-051-100,keyboard_electronic_002-057-075
1070,keyboard_electronic_069-048-025,flute_synthetic_000-048-100
1071,string_acoustic_057-062-050,guitar_acoustic_030-051-127
1072,guitar_electronic_028-062-127,keyboard_electronic_002-048-050
1073,flute_synthetic_000-049-050,guitar_electronic_028-070-127
1074,string_acoustic_056-076-025,flute_synthetic_000-052-050
1075,string_acoustic_056-067-025,flute_synthetic_000-075-075
1076,keyboard_electronic_078-071-100,string_acoustic_014-062-075
1077,flute_synthetic_000-077-075,keyboard_electronic_078-079-100
1078,guitar_electronic_028-084-127,keyboard_electronic_098-082-075
1079,string_acoustic_057-067-100,keyboard_acoustic_004-074-075
1080,string_acoustic_056-052-075,guitar_acoustic_014-054-127
1081,keyboard_electronic_078-077-127,flute_acoustic_002-078-025
1082,guitar_acoustic_021-049-050,string_acoustic_057-063-127
1083,keyboard_electronic_001-075-050,guitar_acoustic_030-060-075
1084,flute_synthetic_000-062-025,guitar_acoustic_010-066-100
1085,flute_synthetic_000-070-127,keyboard_electronic_069-072-075
1086,keyboard_synthetic_000-063-050,guitar_acoustic_015-073-127
1087,guitar_acoustic_021-061-025,flute_synthetic_000-062-025
1088,flute_synthetic_000-072-050,string_acoustic_057-064-075
1089,guitar_acoustic_030-060-075,keyboard_synthetic_000-068-025
1090,flute_synthetic_000-050-127,string_acoustic_057-063-127
1091,guitar_acoustic_021-062-075,keyboard_synthetic_000-077-050
1092,string_acoustic_056-052-075,flute_synthetic_000-079-100
1093,string_acoustic_057-080-025,flute_acoustic_002-084-075
1094,keyboard_electronic_003-082-025,guitar_acoustic_030-049-025
1095,guitar_electronic_022-079-100,keyboard_synthetic_000-066-127
1096,guitar_acoustic_010-063-025,flute_synthetic_000-049-100
1097,keyboard_electronic_002-063-050,flute_synthetic_000-058-100
1098,flute_synthetic_000-050-127,guitar_acoustic_021-050-025
1099,guitar_acoustic_030-054-075,string_acoustic_012-054-050
1100,flute_synthetic_000-073-127,keyboard_synthetic_000-048-127
1101,flute_synthetic_000-070-127,keyboard_electronic_069-061-127
1102,guitar_acoustic_015-080-050,string_acoustic_056-057-127
1103,string_acoustic_071-054-075,flute_synthetic_000-073-050
1104,guitar_acoustic_014-056-025,keyboard_electronic_001-072-050
1105,flute_synthetic_000-048-127,keyboard_electronic_003-054-075
1106,keyboard_electronic_003-057-100,string_acoustic_012-052-127
1107,string_acoustic_014-059-075,keyboard_electronic_003-081-025
1108,flute_acoustic_002-077-025,keyboard_electronic_069-063-100
1109,string_acoustic_057-078-025,guitar_acoustic_021-048-050
1110,flute_synthetic_000-084-025,string_acoustic_080-049-127
1111,keyboard_electronic_069-063-100,guitar_acoustic_010-060-100
1112,string_acoustic_057-062-050,keyboard_synthetic_000-055-025
1113,flute_synthetic_000-068-050,guitar_acoustic_030-062-025
1114,keyboard_synthetic_000-082-025,guitar_acoustic_030-049-025
1115,keyboard_acoustic_004-057-075,guitar_acoustic_010-080-100
1116,keyboard_electronic_098-067-075,guitar_acoustic_014-062-127
1117,keyboard_electronic_098-079-025,flute_synthetic_000-048-100
1118,flute_synthetic_000-077-075,guitar_acoustic_021-072-050
1119,string_acoustic_056-071-050,keyboard_electronic_098-058-025
1120,keyboard_acoustic_004-050-025,string_acoustic_014-054-127
1121,guitar_acoustic_021-062-075,flute_synthetic_000-072-025
1122,flute_synthetic_000-054-075,guitar_acoustic_021-049-050
1123,guitar_acoustic_014-073-100,flute_synthetic_000-057-025
1124,guitar_acoustic_014-072-025,keyboard_electronic_002-067-075
1125,string_acoustic_012-048-100,guitar_acoustic_015-064-127
1126,guitar_acoustic_010-076-050,flute_synthetic_000-048-127
1127,guitar_acoustic_030-048-050,keyboard_acoustic_004-066-050
1128,string_acoustic_056-064-100,flute_synthetic_000-075-075
1129,guitar_acoustic_015-062-050,flute_acoustic_002-071-127
1130,string_acoustic_057-084-127,guitar_acoustic_014-071-127
1131,guitar_electronic_022-076-075,string_acoustic_014-060-025
1132,flute_synthetic_000-068-050,keyboard_electronic_098-072-025
1133,guitar_acoustic_010-060-127,keyboard_electronic_098-069-050
1134,keyboard_electronic_098-054-025,flute_acoustic_002-072-127
1135,guitar_acoustic_014-052-050,string_acoustic_012-048-100
1136,keyboard_synthetic_000-061-127,string_acoustic_056-065-127
1137,string_acoustic_014-062-127,flute_acoustic_002-067-025
1138,guitar_acoustic_014-071-127,keyboard_electronic_002-054-050
1139,string_acoustic_056-058-127,guitar_acoustic_021-081-075
1140,keyboard_acoustic_004-054-075,flute_acoustic_002-080-050
1141,flute_synthetic_000-061-075,guitar_acoustic_010-076-127
1142,flute_acoustic_002-079-127,keyboard_electronic_078-066-025
1143,flute_synthetic_000-058-025,guitar_acoustic_010-074-100
1144,keyboard_electronic_003-053-075,string_acoustic_057-063-100
1145,string_acoustic_080-050-075,keyboard_electronic_003-053-075
1146,guitar_acoustic_021-058-050,string_acoustic_056-067-025
1147,string_acoustic_057-079-025,keyboard_electronic_002-082-025
1148,guitar_acoustic_014-076-127,flute_synthetic_000-072-025
1149,flute_synthetic_000-072-075,guitar_acoustic_015-064-100
1150,string_acoustic_014-058-050,guitar_acoustic_010-050-050
1151,string_acoustic_071-051-127,guitar_electronic_022-082-050
1152,flute_synthetic_000-048-100,guitar_acoustic_010-065-100
1153,flute_acoustic_002-077-100,keyboard_acoustic_004-075-100
1154,flute_synthetic_000-049-100,guitar_electronic_022-077-127
1155,guitar_electronic_022-076-025,string_acoustic_080-048-025
1156,keyboard_electronic_069-054-050,flute_synthetic_000-049-100
1157,flute_synthetic_000-064-100,guitar_electronic_022-077-100
1158,string_acoustic_014-058-050,guitar_acoustic_015-052-100
1159,guitar_acoustic_021-056-075,string_acoustic_057-077-050
1160,flute_synthetic_000-079-025,keyboard_acoustic_004-065-100
1161,flute_synthetic_000-070-127,string_acoustic_014-061-100
1162,keyboard_electronic_098-060-100,guitar_acoustic_010-076-127
1163,flute_synthetic_000-077-075,string_acoustic_057-073-025
1164,keyboard_acoustic_004-052-075,guitar_acoustic_030-077-100
1165,flute_synthetic_000-076-025,guitar_acoustic_015-057-100
1166,guitar_acoustic_015-051-075,keyboard_electronic_001-053-050
1167,string_acoustic_014-064-075,guitar_acoustic_014-062-075
1168,guitar_acoustic_021-072-050,keyboard_electronic_002-071-127
1169,flute_synthetic_000-066-075,keyboard_electronic_098-084-100
1170,flute_acoustic_002-083-100,guitar_electronic_028-075-050
1171,keyboard_synthetic_000-084-050,guitar_acoustic_010-074-100
1172,flute_synthetic_000-083-050,guitar_acoustic_030-051-127
1173,string_acoustic_014-061-100,flute_synthetic_000-073-127
1174,keyboard_electronic_069-066-025,flute_acoustic_002-067-050
1175,string_acoustic_056-071-100,guitar_electronic_022-083-050
1176,guitar_acoustic_010-060-127,keyboard_acoustic_004-082-075
1177,keyboard_electronic_003-080-127,string_acoustic_080-048-127
1178,string_acoustic_057-077-100,guitar_acoustic_015-056-050
1179,keyboard_electronic_002-067-075,guitar_acoustic_015-057-100
1180,string_acoustic_071-051-127,flute_synthetic_000-053-127
1181,string_acoustic_057-061-050,guitar_acoustic_014-066-050
1182,string_acoustic_056-071-100,keyboard_acoustic_004-082-100
1183,flute_acoustic_002-081-075,guitar_electronic_028-059-025
1184,string_acoustic_012-054-050,flute_synthetic_000-064-127
1185,keyboard_electronic_098-079-025,string_acoustic_057-064-075
1186,keyboard_electronic_078-082-100,guitar_electronic_022-073-127
1187,flute_synthetic_000-079-127,guitar_acoustic_010-052-025
1188,string_acoustic_057-075-075,flute_synthetic_000-068-075
1189,flute_synthetic_000-075-075,string_acoustic_071-051-127
1190,guitar_acoustic_010-068-050,keyboard_electronic_002-073-100
1191,keyboard_acoustic_004-061-127,string_acoustic_014-049-100
1192,keyboard_acoustic_004-069-100,string_acoustic_014-053-050
1193,flute_acoustic_002-067-050,string_acoustic_012-055-050
1194,flute_acoustic_002-071-127,keyboard_synthetic_000-074-100
1195,guitar_electronic_028-067-025,flute_synthetic_000-049-050
1196,keyboard_synthetic_000-072-127,guitar_acoustic_030-048-025
1197,flute_acoustic_002-073-127,guitar_acoustic_021-083-127
1198,keyboard_synthetic_000-056-100,string_acoustic_057-074-050
1199,string_acoustic_057-063-127,keyboard_electronic_078-069-100
1200,flute_synthetic_000-072-050,guitar_acoustic_014-060-050
1201,string_acoustic_056-063-127,flute_acoustic_002-073-127
1202,guitar_acoustic_010-076-050,string_acoustic_014-060-025
1203,keyboard_electronic_069-060-100,guitar_acoustic_010-080-025
1204,keyboard_acoustic_004-083-050,string_acoustic_056-059-100
1205,flute_synthetic_000-064-127,string_acoustic_056-074-100
1206,guitar_acoustic_030-054-075,flute_synthetic_000-072-025
1207,flute_acoustic_002-071-127,string_acoustic_057-073-025
1208,guitar_acoustic_014-077-050,string_acoustic_056-052-075
1209,guitar_acoustic_021-058-100,keyboard_electronic_078-058-050
1210,flute_synthetic_000-068-050,string_acoustic_012-049-050
1211,guitar_acoustic_010-074-100,string_acoustic_057-071-025
1212,keyboard_synthetic_000-055-025,string_acoustic_057-084-127
1213,keyboard_electronic_001-065-100,string_acoustic_080-053-050
1214,keyboard_electronic_003-080-075,guitar_acoustic_021-076-050
1215,guitar_acoustic_021-082-127,keyboard_electronic_098-078-075
1216,flute_synthetic_000-071-127,keyboard_electronic_078-069-025
1217,flute_synthetic_000-072-025,keyboard_electronic_002-076-025
1218,string_acoustic_057-078-075,keyboard_electronic_098-062-127
1219,guitar_acoustic_010-083-025,keyboard_acoustic_004-070-050
1220,keyboard_electronic_001-048-075,guitar_acoustic_015-074-075
1221,keyboard_electronic_069-072-075,flute_acoustic_002-078-025
1222,string_acoustic_056-071-050,keyboard_electronic_002-051-100
1223,flute_acoustic_002-069-025,guitar_acoustic_010-080-127
1224,string_acoustic_014-048-075,flute_acoustic_002-074-025
1225,keyboard_electronic_078-058-025,string_acoustic_012-051-127
1226,guitar_acoustic_015-063-127,keyboard_electronic_003-064-050
1227,guitar_acoustic_014-068-100,keyboard_electronic_001-059-050
1228,flute_synthetic_000-066-025,string_acoustic_056-078-127
1229,keyboard_electronic_078-072-025,flute_acoustic_002-078-050
1230,string_acoustic_071-049-025,keyboard_acoustic_004-081-050
1231,guitar_acoustic_030-076-100,string_acoustic_057-079-050
1232,keyboard_electronic_003-074-127,string_acoustic_056-058-025
1233,guitar_acoustic_010-080-127,string_acoustic_056-051-025
1234,keyboard_electronic_002-076-025,flute_acoustic_002-073-127
1235,keyboard_electronic_001-072-050,guitar_acoustic_021-050-100
1236,flute_synthetic_000-053-025,string_acoustic_056-062-127
1237,keyboard_electronic_098-069-050,string_acoustic_057-078-075
1238,string_acoustic_057-071-100,guitar_electronic_022-082-127
1239,guitar_acoustic_021-069-025,keyboard_electronic_078-066-025
1240,guitar_electronic_022-084-025,keyboard_acoustic_004-054-050
1241,flute_synthetic_000-083-127,keyboard_electronic_001-065-100
1242,guitar_acoustic_021-081-075,keyboard_electronic_001-070-100
1243,string_acoustic_056-056-025,guitar_acoustic_014-070-100
1244,guitar_acoustic_021-057-127,flute_synthetic_000-070-127
1245,flute_acoustic_002-075-100,guitar_acoustic_014-076-127
1246,guitar_electronic_022-052-075,flute_synthetic_000-058-025
1247,flute_synthetic_000-054-127,guitar_electronic_028-068-050
1248,guitar_electronic_022-058-075,flute_synthetic_000-054-025
1249,string_acoustic_014-064-075,guitar_acoustic_010-076-050
1250,string_acoustic_056-057-127,flute_acoustic_002-071-127
1251,keyboard_synthetic_000-061-127,string_acoustic_057-058-127
1252,string_acoustic_057-064-025,keyboard_electronic_069-066-100
1253,string_acoustic_057-068-100,guitar_acoustic_021-058-050
1254,string_acoustic_014-055-025,keyboard_synthetic_000-063-075
1255,string_acoustic_057-061-050,keyboard_electronic_069-052-075
1256,keyboard_synthetic_000-083-025,flute_synthetic_000-083-127
1257,keyboard_acoustic_004-074-100,string_acoustic_056-050-050
1258,flute_synthetic_000-077-075,string_acoustic_056-079-127
1259,guitar_acoustic_015-052-100,flute_acoustic_002-077-050
1260,guitar_acoustic_014-078-050,string_acoustic_014-053-025
1261,guitar_electronic_028-082-050,string_acoustic_056-071-050
1262,flute_synthetic_000-060-025,guitar_acoustic_010-068-050
1263,flute_synthetic_000-054-050,guitar_electronic_028-070-127
1264,string_acoustic_014-064-075,guitar_acoustic_021-074-127
1265,keyboard_electronic_001-048-050,string_acoustic_080-050-075
1266,keyboard_electronic_069-052-127,string_acoustic_014-058-100
1267,keyboard_electronic_002-073-025,string_acoustic_056-079-127
1268,keyboard_electronic_003-052-050,string_acoustic_056-056-025
1269,flute_acoustic_002-077-100,guitar_acoustic_014-071-127
1270,flute_acoustic_002-067-050,string_acoustic_071-051-127
1271,flute_synthetic_000-070-127,keyboard_electronic_078-061-127
1272,keyboard_electronic_098-079-025,guitar_acoustic_010-070-127
1273,flute_synthetic_000-055-050,guitar_acoustic_010-049-100
1274,flute_synthetic_000-052-127,guitar_acoustic_010-070-025
1275,guitar_acoustic_015-057-100,string_acoustic_057-080-025
1276,string_acoustic_014-058-050,flute_synthetic_000-079-127
1277,guitar_acoustic_021-064-127,flute_synthetic_000-079-025
1278,keyboard_electronic_003-057-100,guitar_acoustic_014-081-025
1279,string_acoustic_056-065-127,keyboard_electronic_098-069-100
1280,string_acoustic_057-078-127,flute_synthetic_000-084-025
1281,flute_acoustic_002-068-050,keyboard_electronic_003-057-100
1282,guitar_acoustic_015-064-100,flute_synthetic_000-054-127
1283,guitar_electronic_022-077-050,keyboard_acoustic_004-079-075
1284,guitar_electronic_028-077-127,string_acoustic_012-049-050
1285,flute_synthetic_000-050-050,string_acoustic_056-072-100
1286,guitar_electronic_022-055-100,string_acoustic_057-058-127
1287,flute_synthetic_000-073-127,string_acoustic_057-077-050
1288,keyboard_acoustic_004-081-050,string_acoustic_014-051-100
1289,guitar_electronic_022-063-025,string_acoustic_056-060-127
1290,keyboard_acoustic_004-057-075,guitar_acoustic_014-075-025
1291,guitar_acoustic_015-077-100,keyboard_electronic_078-055-025
1292,keyboard_acoustic_004-057-075,flute_synthetic_000-053-127
1293,string_acoustic_056-059-127,guitar_acoustic_010-080-100
1294,flute_synthetic_000-071-127,keyboard_electronic_098-060-100
1295,guitar_acoustic_014-070-100,string_acoustic_014-058-100
1296,flute_synthetic_000-050-050,string_acoustic_071-053-075
1297,string_acoustic_014-054-127,guitar_electronic_028-082-050
1298,string_acoustic_071-052-075,guitar_acoustic_030-074-050
1299,keyboard_electronic_069-080-100,flute_synthetic_000-054-025
1300,flute_synthetic_000-054-075,string_acoustic_012-053-025
1301,guitar_electronic_022-059-075,flute_synthetic_000-048-100
1302,flute_acoustic_002-084-075,string_acoustic_014-061-025
1303,keyboard_electronic_098-064-025,string_acoustic_056-060-127
1304,keyboard_electronic_002-052-075,string_acoustic_080-054-050
1305,flute_synthetic_000-052-050,guitar_electronic_022-067-025
1306,flute_synthetic_000-054-075,keyboard_synthetic_000-076-025
1307,keyboard_electronic_069-052-127,guitar_acoustic_014-064-025
1308,guitar_acoustic_015-055-075,keyboard_electronic_069-064-127
1309,keyboard_electronic_002-057-075,string_acoustic_014-060-025
1310,guitar_acoustic_014-077-025,keyboard_electronic_001-053-025
1311,guitar_electronic_028-072-050,keyboard_acoustic_004-063-025
1312,string_acoustic_057-077-075,flute_synthetic_000-062-025
1313,keyboard_electronic_003-059-050,guitar_acoustic_010-077-075
1314,string_acoustic_057-070-050,keyboard_electronic_069-057-100
1315,flute_synthetic_000-052-127,keyboard_electronic_001-048-050
1316,string_acoustic_057-080-025,guitar_acoustic_014-069-025
1317,flute_synthetic_000-066-075,keyboard_electronic_069-057-100
1318,string_acoustic_057-063-100,flute_synthetic_000-073-050
1319,flute_synthetic_000-064-100,string_acoustic_057-060-127
1320,string_acoustic_056-078-127,keyboard_electronic_003-065-050
1321,flute_synthetic_000-054-050,keyboard_electronic_002-075-100
1322,flute_synthetic_000-053-025,keyboard_electronic_098-078-075
1323,flute_synthetic_000-071-127,guitar_acoustic_030-081-050
1324,string_acoustic_080-051-127,keyboard_acoustic_004-059-127
1325,keyboard_electronic_001-082-025,flute_synthetic_000-073-127
1326,keyboard_acoustic_004-056-127,guitar_electronic_028-064-050
1327,keyboard_electronic_078-079-100,string_acoustic_014-059-075
1328,guitar_acoustic_030-061-127,string_acoustic_057-084-127
1329,keyboard_electronic_003-069-100,flute_synthetic_000-075-075
1330,string_acoustic_057-058-127,guitar_acoustic_021-053-100
1331,keyboard_electronic_001-052-100,string_acoustic_014-061-127
1332,string_acoustic_071-050-050,guitar_electronic_028-082-127
1333,flute_synthetic_000-079-100,guitar_acoustic_021-071-100
1334,guitar_acoustic_014-067-127,keyboard_electronic_003-081-127
1335,guitar_acoustic_021-069-025,keyboard_electronic_098-051-025
1336,flute_synthetic_000-050-127,guitar_acoustic_021-067-127
1337,string_acoustic_057-058-127,guitar_acoustic_030-048-025
1338,keyboard_electronic_003-053-075,string_acoustic_014-052-127
1339,flute_acoustic_002-084-075,keyboard_electronic_069-052-127
1340,keyboard_electronic_098-071-127,flute_acoustic_002-083-100
1341,guitar_acoustic_010-082-127,keyboard_acoustic_004-064-050
1342,flute_synthetic_000-079-100,guitar_acoustic_015-060-050
1343,guitar_acoustic_021-074-127,keyboard_electronic_098-073-025
1344,keyboard_electronic_078-077-127,guitar_acoustic_010-057-025
1345,guitar_acoustic_010-066-100,keyboard_electronic_002-057-075
1346,keyboard_electronic_078-077-050,guitar_acoustic_015-051-127
1347,flute_acoustic_002-069-025,guitar_electronic_028-068-075
1348,flute_acoustic_002-079-127,guitar_acoustic_021-048-050
1349,guitar_acoustic_015-060-025,flute_synthetic_000-080-050
1350,string_acoustic_057-077-050,guitar_acoustic_010-082-127
1351,string_acoustic_071-049-025,keyboard_acoustic_004-083-050
1352,string_acoustic_057-059-025,keyboard_synthetic_000-050-100
1353,keyboard_acoustic_004-069-025,string_acoustic_056-058-127
1354,string_acoustic_056-062-127,guitar_acoustic_021-069-025
1355,flute_synthetic_000-058-025,keyboard_electronic_078-068-050
1356,string_acoustic_057-071-025,guitar_acoustic_014-068-100
1357,flute_synthetic_000-058-025,keyboard_electronic_003-080-100
1358,guitar_acoustic_010-060-127,string_acoustic_057-069-075
1359,flute_synthetic_000-072-075,guitar_electronic_022-084-025
1360,keyboard_acoustic_004-050-025,guitar_acoustic_015-061-075
1361,guitar_electronic_028-064-050,string_acoustic_014-064-050
1362,keyboard_electronic_069-048-025,flute_synthetic_000-061-075
1363,string_acoustic_014-053-025,flute_acoustic_002-084-025
1364,string_acoustic_012-053-025,keyboard_electronic_003-053-127
1365,keyboard_acoustic_004-069-127,string_acoustic_071-051-127
1366,guitar_electronic_022-084-025,flute_synthetic_000-054-050
1367,keyboard_electronic_002-072-050,string_acoustic_012-048-100
1368,flute_synthetic_000-062-025,keyboard_electronic_069-072-075
1369,string_acoustic_071-052-075,flute_synthetic_000-063-075
1370,guitar_acoustic_030-077-100,keyboard_electronic_069-050-127
1371,flute_acoustic_002-078-025,guitar_acoustic_010-070-127
1372,keyboard_synthetic_000-084-050,string_acoustic_056-079-050
1373,flute_synthetic_000-057-025,keyboard_synthetic_000-074-100
1374,flute_acoustic_002-073-127,keyboard_synthetic_000-056-100
1375,flute_acoustic_002-078-025,string_acoustic_057-055-100
1376,guitar_electronic_028-060-075,keyboard_synthetic_000-049-100
1377,keyboard_electronic_002-082-075,flute_synthetic_000-083-127
1378,keyboard_electronic_069-051-100,guitar_acoustic_021-054-100
1379,flute_acoustic_002-078-100,guitar_electronic_028-052-050
1380,guitar_electronic_028-077-050,keyboard_electronic_078-062-050
1381,keyboard_electronic_002-063-050,string_acoustic_056-059-075
1382,keyboard_electronic_069-051-075,guitar_acoustic_015-084-127
1383,string_acoustic_056-072-100,guitar_acoustic_015-064-100
1384,string_acoustic_057-067-100,keyboard_synthetic_000-056-100
1385,guitar_acoustic_010-076-127,string_acoustic_056-065-127
1386,flute_synthetic_000-062-075,string_acoustic_071-053-075
1387,flute_synthetic_000-073-127,string_acoustic_057-071-025
1388,flute_synthetic_000-054-127,keyboard_electronic_001-062-050
1389,keyboard_acoustic_004-057-075,guitar_electronic_022-059-050
1390,keyboard_electronic_098-069-100,flute_acoustic_002-067-025
1391,guitar_acoustic_015-074-075,keyboard_synthetic_000-083-075
1392,string_acoustic_056-055-100,guitar_acoustic_021-052-025
1393,keyboard_acoustic_004-069-127,guitar_acoustic_015-062-050
1394,guitar_acoustic_014-062-075,flute_synthetic_000-068-075
1395,string_acoustic_057-082-050,guitar_electronic_022-073-127
1396,guitar_acoustic_030-074-050,keyboard_electronic_069-077-100
1397,guitar_acoustic_014-070-050,flute_synthetic_000-068-050
1398,string_acoustic_056-053-025,flute_synthetic_000-083-050
