qualities,pitch,note,instrument_source_str,velocity,instrument_str,instrument,sample_rate,qualities_str,instrument_source,note_str,instrument_family,instrument_family_str
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",68,212331,electronic,25,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-068-025,6,organ
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",33,305272,electronic,127,keyboard_electronic_069,805,16000,['distortion'],1,keyboard_electronic_069-033-127,4,keyboard
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64,38059,acoustic,127,brass_acoustic_046,414,16000,['bright'],0,brass_acoustic_046-064-127,1,brass
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",45,246499,synthetic,100,bass_synthetic_134,914,16000,"['dark', 'reverb']",2,bass_synthetic_134-045-100,0,bass
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",29,6644,acoustic,50,string_acoustic_012,97,16000,"['long_release', 'reverb']",0,string_acoustic_012-029-050,8,string
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",71,118392,acoustic,100,mallet_acoustic_062,644,16000,"['dark', 'multiphonic']",0,mallet_acoustic_062-071-100,5,mallet
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",61,24467,acoustic,75,string_acoustic_056,436,16000,"['fast_decay', 'reverb']",0,string_acoustic_056-061-075,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",57,76466,acoustic,127,string_acoustic_056,436,16000,['reverb'],0,string_acoustic_056-057-127,8,string
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",41,12798,acoustic,25,string_acoustic_071,609,16000,"['long_release', 'reverb']",0,string_acoustic_071-041-025,8,string
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50,152134,electronic,100,organ_electronic_001,8,16000,['dark'],1,organ_electronic_001-050-100,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",55,113915,electronic,50,guitar_electronic_028,510,16000,['dark'],1,guitar_electronic_028-055-050,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",84,119580,acoustic,75,reed_acoustic_018,183,16000,[],0,reed_acoustic_018-084-075,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",55,262739,electronic,75,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-055-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",45,19154,acoustic,100,string_acoustic_012,97,16000,['reverb'],0,string_acoustic_012-045-100,8,string
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",72,7770,acoustic,50,guitar_acoustic_021,457,16000,['fast_decay'],0,guitar_acoustic_021-072-050,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21,167294,acoustic,127,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-021-127,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,131908,synthetic,75,bass_synthetic_068,656,16000,[],2,bass_synthetic_068-065-075,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",71,55960,electronic,127,keyboard_electronic_002,50,16000,['distortion'],1,keyboard_electronic_002-071-127,4,keyboard
"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",28,145843,acoustic,127,mallet_acoustic_062,644,16000,"['dark', 'long_release', 'multiphonic']",0,mallet_acoustic_062-028-127,5,mallet
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",23,33024,synthetic,50,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-023-050,2,flute
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",98,258935,synthetic,100,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-098-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24,138400,acoustic,127,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-024-127,3,guitar
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",99,87549,acoustic,50,flute_acoustic_002,86,16000,"['bright', 'reverb']",0,flute_acoustic_002-099-050,2,flute
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",84,285737,synthetic,100,keyboard_synthetic_000,577,16000,"['bright', 'distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-084-100,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",43,29993,acoustic,50,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-043-050,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",96,3191,electronic,100,guitar_electronic_028,510,16000,[],1,guitar_electronic_028-096-100,3,guitar
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",85,16028,synthetic,127,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-085-127,10,vocal
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",29,239874,synthetic,50,bass_synthetic_033,417,16000,['dark'],2,bass_synthetic_033-029-050,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",107,150046,synthetic,100,bass_synthetic_033,417,16000,[],2,bass_synthetic_033-107-100,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",36,208878,electronic,50,keyboard_electronic_002,50,16000,['distortion'],1,keyboard_electronic_002-036-050,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75,67810,electronic,127,guitar_electronic_028,510,16000,[],1,guitar_electronic_028-075-127,3,guitar
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",23,62565,synthetic,100,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-023-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",41,102500,acoustic,100,string_acoustic_071,609,16000,['reverb'],0,string_acoustic_071-041-100,8,string
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",64,17930,synthetic,50,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-064-050,10,vocal
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",76,64977,synthetic,25,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-076-025,2,flute
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",93,81455,acoustic,50,brass_acoustic_046,414,16000,['long_release'],0,brass_acoustic_046-093-050,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",43,110568,acoustic,75,string_acoustic_012,97,16000,['reverb'],0,string_acoustic_012-043-075,8,string
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",56,58181,acoustic,127,reed_acoustic_011,104,16000,['bright'],0,reed_acoustic_011-056-127,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27,83935,acoustic,127,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-027-127,3,guitar
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",52,94814,acoustic,25,string_acoustic_071,609,16000,"['long_release', 'reverb']",0,string_acoustic_071-052-025,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88,113892,electronic,50,guitar_electronic_022,378,16000,[],1,guitar_electronic_022-088-050,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",65,67948,acoustic,50,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-065-050,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",62,5548,electronic,25,bass_electronic_025,872,16000,[],1,bass_electronic_025-062-025,0,bass
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",67,37375,acoustic,127,reed_acoustic_037,387,16000,"['long_release', 'reverb']",0,reed_acoustic_037-067-127,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",104,93965,synthetic,100,bass_synthetic_033,417,16000,[],2,bass_synthetic_033-104-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",55,86388,acoustic,75,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-055-075,3,guitar
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",48,35947,acoustic,75,string_acoustic_014,100,16000,"['dark', 'reverb']",0,string_acoustic_014-048-075,8,string
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",43,170514,electronic,25,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-043-025,6,organ
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",58,80625,acoustic,25,brass_acoustic_016,128,16000,['bright'],0,brass_acoustic_016-058-025,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,192133,electronic,50,guitar_electronic_028,510,16000,[],1,guitar_electronic_028-065-050,3,guitar
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",93,143679,acoustic,25,guitar_acoustic_021,457,16000,"['fast_decay', 'percussive']",0,guitar_acoustic_021-093-025,3,guitar
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",39,85289,acoustic,127,reed_acoustic_011,104,16000,['bright'],0,reed_acoustic_011-039-127,7,reed
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",74,300226,electronic,25,organ_electronic_028,440,16000,['dark'],1,organ_electronic_028-074-025,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",48,170412,acoustic,127,guitar_acoustic_015,316,16000,['reverb'],0,guitar_acoustic_015-048-127,3,guitar
"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",24,137829,synthetic,127,bass_synthetic_009,150,16000,"['bright', 'distortion', 'long_release']",2,bass_synthetic_009-024-127,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",47,40747,acoustic,50,brass_acoustic_015,121,16000,['reverb'],0,brass_acoustic_015-047-050,1,brass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",40,263421,electronic,50,organ_electronic_001,8,16000,['dark'],1,organ_electronic_001-040-050,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",37,163069,acoustic,25,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-037-025,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,152915,electronic,75,keyboard_electronic_003,65,16000,[],1,keyboard_electronic_003-054-075,4,keyboard
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",107,238654,synthetic,100,bass_synthetic_068,656,16000,"['bright', 'fast_decay', 'percussive']",2,bass_synthetic_068-107-100,0,bass
"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",91,219078,synthetic,50,keyboard_synthetic_000,577,16000,"['bright', 'distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-091-050,4,keyboard
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",12,199369,electronic,100,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-012-100,6,organ
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",89,92100,acoustic,25,string_acoustic_057,450,16000,"['bright', 'nonlinear_env', 'reverb']",0,string_acoustic_057-089-025,8,string
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",90,109279,acoustic,75,guitar_acoustic_030,642,16000,"['fast_decay', 'tempo-synced']",0,guitar_acoustic_030-090-075,3,guitar
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",93,20315,synthetic,75,vocal_synthetic_003,37,16000,"['long_release', 'nonlinear_env']",2,vocal_synthetic_003-093-075,10,vocal
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",74,132678,electronic,75,organ_electronic_028,440,16000,['dark'],1,organ_electronic_028-074-075,6,organ
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",104,70949,acoustic,100,guitar_acoustic_010,219,16000,['bright'],0,guitar_acoustic_010-104-100,3,guitar
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",41,302189,electronic,100,organ_electronic_007,123,16000,"['distortion', 'long_release', 'nonlinear_env']",1,organ_electronic_007-041-100,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",48,1085,acoustic,25,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-048-025,1,brass
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",56,289931,synthetic,75,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-056-075,4,keyboard
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",30,17630,acoustic,25,string_acoustic_012,97,16000,"['long_release', 'reverb']",0,string_acoustic_012-030-025,8,string
"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",48,65588,acoustic,50,mallet_acoustic_062,644,16000,"['dark', 'multiphonic']",0,mallet_acoustic_062-048-050,5,mallet
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",65,108026,electronic,75,keyboard_electronic_078,838,16000,['bright'],1,keyboard_electronic_078-065-075,4,keyboard
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",66,163629,acoustic,100,mallet_acoustic_047,488,16000,"['fast_decay', 'percussive', 'reverb']",0,mallet_acoustic_047-066-100,5,mallet
"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",77,168151,electronic,127,keyboard_electronic_002,50,16000,"['distortion', 'fast_decay']",1,keyboard_electronic_002-077-127,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28,195490,electronic,25,bass_electronic_027,880,16000,[],1,bass_electronic_027-028-025,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",67,164251,synthetic,25,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-067-025,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",35,160876,synthetic,100,bass_synthetic_098,803,16000,['distortion'],2,bass_synthetic_098-035-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",52,26837,acoustic,25,brass_acoustic_015,121,16000,['reverb'],0,brass_acoustic_015-052-025,1,brass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",45,299008,electronic,75,guitar_electronic_022,378,16000,['dark'],1,guitar_electronic_022-045-075,3,guitar
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",57,84421,synthetic,50,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-057-050,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",31,123381,electronic,25,organ_electronic_104,921,16000,[],1,organ_electronic_104-031-025,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",27,183390,synthetic,100,bass_synthetic_068,656,16000,['dark'],2,bass_synthetic_068-027-100,0,bass
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",28,268922,electronic,75,keyboard_electronic_003,65,16000,['distortion'],1,keyboard_electronic_003-028-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",71,107746,acoustic,25,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-071-025,3,guitar
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29,251025,electronic,25,keyboard_electronic_078,838,16000,['bright'],1,keyboard_electronic_078-029-025,4,keyboard
"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",37,261239,synthetic,75,bass_synthetic_134,914,16000,"['dark', 'reverb']",2,bass_synthetic_134-037-075,0,bass
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",44,49106,synthetic,127,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-044-127,10,vocal
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",72,185435,acoustic,75,mallet_acoustic_047,488,16000,"['fast_decay', 'percussive', 'reverb']",0,mallet_acoustic_047-072-075,5,mallet
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",26,71523,acoustic,25,string_acoustic_080,675,16000,"['long_release', 'reverb']",0,string_acoustic_080-026-025,8,string
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",80,169042,acoustic,50,guitar_acoustic_015,316,16000,"['fast_decay', 'percussive', 'reverb']",0,guitar_acoustic_015-080-050,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",91,289669,acoustic,127,keyboard_acoustic_004,327,16000,"['percussive', 'reverb']",0,keyboard_acoustic_004-091-127,4,keyboard
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",40,272286,synthetic,100,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-040-100,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",60,248159,electronic,100,organ_electronic_001,8,16000,['dark'],1,organ_electronic_001-060-100,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",58,292340,acoustic,100,keyboard_acoustic_004,327,16000,['reverb'],0,keyboard_acoustic_004-058-100,4,keyboard
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",59,104338,synthetic,75,bass_synthetic_034,420,16000,"['distortion', 'tempo-synced']",2,bass_synthetic_034-059-075,0,bass
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",107,158036,acoustic,100,mallet_acoustic_047,488,16000,"['fast_decay', 'percussive', 'reverb']",0,mallet_acoustic_047-107-100,5,mallet
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",84,215134,electronic,25,guitar_electronic_022,378,16000,[],1,guitar_electronic_022-084-025,3,guitar
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",71,105906,acoustic,127,string_acoustic_056,436,16000,"['fast_decay', 'percussive', 'reverb']",0,string_acoustic_056-071-127,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",98,132246,acoustic,25,flute_acoustic_002,86,16000,['reverb'],0,flute_acoustic_002-098-025,2,flute
"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",101,81508,acoustic,25,guitar_acoustic_015,316,16000,"['fast_decay', 'percussive', 'reverb']",0,guitar_acoustic_015-101-025,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86,236998,electronic,127,guitar_electronic_022,378,16000,[],1,guitar_electronic_022-086-127,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40,4703,electronic,100,bass_electronic_025,872,16000,[],1,bass_electronic_025-040-100,0,bass
"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",27,215327,synthetic,75,keyboard_synthetic_000,577,16000,"['distortion', 'fast_decay', 'nonlinear_env']",2,keyboard_synthetic_000-027-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",48,301047,acoustic,75,keyboard_acoustic_004,327,16000,['reverb'],0,keyboard_acoustic_004-048-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90,304650,electronic,25,organ_electronic_001,8,16000,[],1,organ_electronic_001-090-025,6,organ
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",41,113630,electronic,50,organ_electronic_001,8,16000,['dark'],1,organ_electronic_001-041-050,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36,204743,electronic,75,bass_electronic_025,872,16000,[],1,bass_electronic_025-036-075,0,bass
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",105,111644,acoustic,127,flute_acoustic_002,86,16000,"['bright', 'reverb']",0,flute_acoustic_002-105-127,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",23,958,acoustic,127,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-023-127,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",70,183862,electronic,100,organ_electronic_001,8,16000,[],1,organ_electronic_001-070-100,6,organ
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",38,68483,acoustic,100,string_acoustic_012,97,16000,"['long_release', 'reverb']",0,string_acoustic_012-038-100,8,string
"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",61,65474,acoustic,25,string_acoustic_014,100,16000,"['dark', 'percussive', 'reverb']",0,string_acoustic_014-061-025,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",91,194500,electronic,50,organ_electronic_028,440,16000,[],1,organ_electronic_028-091-050,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",48,229348,electronic,50,bass_electronic_025,872,16000,[],1,bass_electronic_025-048-050,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90,144375,acoustic,25,guitar_acoustic_010,219,16000,[],0,guitar_acoustic_010-090-025,3,guitar
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",31,128770,synthetic,25,flute_synthetic_000,82,16000,['distortion'],2,flute_synthetic_000-031-025,2,flute
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",41,48042,synthetic,75,vocal_synthetic_003,37,16000,"['distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-041-075,10,vocal
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",28,284609,electronic,25,keyboard_electronic_098,905,16000,['dark'],1,keyboard_electronic_098-028-025,4,keyboard
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",28,281745,electronic,50,keyboard_electronic_001,40,16000,['dark'],1,keyboard_electronic_001-028-050,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,146314,acoustic,25,guitar_acoustic_021,457,16000,[],0,guitar_acoustic_021-067-025,3,guitar
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",63,69785,acoustic,75,string_acoustic_057,450,16000,"['bright', 'nonlinear_env', 'reverb']",0,string_acoustic_057-063-075,8,string
"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",48,76261,acoustic,25,mallet_acoustic_062,644,16000,"['dark', 'fast_decay', 'multiphonic']",0,mallet_acoustic_062-048-025,5,mallet
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",39,223563,electronic,100,keyboard_electronic_002,50,16000,['distortion'],1,keyboard_electronic_002-039-100,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",92,86444,electronic,127,keyboard_electronic_001,40,16000,['percussive'],1,keyboard_electronic_001-092-127,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",58,40890,acoustic,127,vocal_acoustic_000,46,16000,['reverb'],0,vocal_acoustic_000-058-127,10,vocal
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",34,193574,synthetic,75,bass_synthetic_034,420,16000,"['distortion', 'tempo-synced']",2,bass_synthetic_034-034-075,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,174277,acoustic,25,guitar_acoustic_014,263,16000,[],0,guitar_acoustic_014-026-025,3,guitar
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",85,147057,acoustic,100,mallet_acoustic_062,644,16000,['multiphonic'],0,mallet_acoustic_062-085-100,5,mallet
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",103,36209,acoustic,50,guitar_acoustic_014,263,16000,"['fast_decay', 'percussive']",0,guitar_acoustic_014-103-050,3,guitar
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",74,79011,acoustic,127,mallet_acoustic_056,590,16000,['fast_decay'],0,mallet_acoustic_056-074-127,5,mallet
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",104,202554,synthetic,25,bass_synthetic_068,656,16000,"['bright', 'fast_decay', 'percussive']",2,bass_synthetic_068-104-025,0,bass
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",27,258058,electronic,25,organ_electronic_113,958,16000,['dark'],1,organ_electronic_113-027-025,6,organ
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",82,136435,acoustic,75,reed_acoustic_023,224,16000,"['bright', 'fast_decay', 'multiphonic', 'nonlinear_env']",0,reed_acoustic_023-082-075,7,reed
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",63,294188,electronic,75,keyboard_electronic_003,65,16000,[],1,keyboard_electronic_003-063-075,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90,274508,electronic,25,organ_electronic_028,440,16000,[],1,organ_electronic_028-090-025,6,organ
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",96,186428,synthetic,100,bass_synthetic_135,927,16000,['distortion'],2,bass_synthetic_135-096-100,0,bass
"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",43,108373,acoustic,25,string_acoustic_080,675,16000,"['long_release', 'reverb']",0,string_acoustic_080-043-025,8,string
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",74,27273,acoustic,25,flute_acoustic_002,86,16000,['reverb'],0,flute_acoustic_002-074-025,2,flute
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",49,270311,electronic,50,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-049-050,4,keyboard
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",84,177764,electronic,75,organ_electronic_028,440,16000,[],1,organ_electronic_028-084-075,6,organ
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",59,207338,electronic,50,organ_electronic_104,921,16000,[],1,organ_electronic_104-059-050,6,organ
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",107,42995,synthetic,50,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-107-050,10,vocal
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",62,241786,electronic,75,keyboard_electronic_002,50,16000,[],1,keyboard_electronic_002-062-075,4,keyboard
"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",28,58992,synthetic,25,vocal_synthetic_003,37,16000,"['distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-028-025,10,vocal
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",66,8270,synthetic,100,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-066-100,10,vocal
"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",63,35980,synthetic,25,vocal_synthetic_003,37,16000,"['bright', 'distortion', 'long_release', 'nonlinear_env']",2,vocal_synthetic_003-063-025,10,vocal
"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",22,158391,electronic,100,bass_electronic_018,759,16000,"['fast_decay', 'percussive']",1,bass_electronic_018-022-100,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",59,271507,electronic,25,bass_electronic_027,880,16000,[],1,bass_electronic_027-059-025,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95,14587,electronic,75,guitar_electronic_028,510,16000,[],1,guitar_electronic_028-095-075,3,guitar
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",40,14010,acoustic,127,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-040-127,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",30,42155,acoustic,75,brass_acoustic_006,43,16000,['reverb'],0,brass_acoustic_006-030-075,1,brass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",44,187413,electronic,127,bass_electronic_027,880,16000,[],1,bass_electronic_027-044-127,0,bass
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",91,187585,synthetic,50,bass_synthetic_033,417,16000,[],2,bass_synthetic_033-091-050,0,bass
